mileage,price,year
256 000 km,36 900,2006 
256 000 km,64 000,2006 
256 000 km,87 500,2006 
256 000 km,67 000,2006 
256 000 km,28 500,2006 
256 000 km,85 000,2006 
256 000 km,94 700,2006 
256 000 km,109 500,2006 
256 000 km,33 390,2006 
256 000 km,92 250,2006 
256 000 km,39 900,2006 
256 000 km,17 000,2006 
256 000 km,103 000,2006 
256 000 km,134 000,2006 
256 000 km,49 970,2006 
256 000 km,41 900,2006 
256 000 km,37 010,2006 
256 000 km,37 488,2006 
256 000 km,68 000,2006 
256 000 km,125 000,2006 
256 000 km,139 900,2006 
256 000 km,97 500,2006 
256 000 km,42 500,2006 
256 000 km,109 000,2006 
256 000 km,109 000,2006 
256 000 km,52 000,2006 
256 000 km,95 000,2006 
256 000 km,89 500,2006 
256 000 km,79 900,2006 
256 000 km,145 000,2006 
256 000 km,57 900,2006 
256 000 km,89 900,2006 
292 000 km,54 900,2002 
292 000 km,42 500,2002 
292 000 km,32 900,2002 
292 000 km,85 485,2002 
292 000 km,33 900,2002 
292 000 km,49 999,2002 
292 000 km,81 000,2002 
292 000 km,148 000,2002 
292 000 km,59 800,2002 
292 000 km,74 900,2002 
292 000 km,42 500,2002 
292 000 km,42 999,2002 
292 000 km,14 999,2002 
292 000 km,149 000,2002 
292 000 km,39 000,2002 
292 000 km,48 900,2002 
292 000 km,37 900,2002 
292 000 km,68 500,2002 
292 000 km,125 000,2002 
292 000 km,27 500,2002 
292 000 km,92 000,2002 
292 000 km,77 900,2002 
292 000 km,36 900,2002 
292 000 km,88 560,2002 
292 000 km,98 000,2002 
292 000 km,95 000,2002 
292 000 km,76 260,2002 
292 000 km,69 000,2002 
292 000 km,38 000,2002 
292 000 km,51 800,2002 
292 000 km,94 900,2002 
292 000 km,86 600,2002 
239 000 km,49 900,2007 
239 000 km,99 000,2007 
239 000 km,36 000,2007 
239 000 km,88 500,2007 
239 000 km,59 900,2007 
239 000 km,120 000,2007 
239 000 km,39 500,2007 
239 000 km,69 999,2007 
239 000 km,79 500,2007 
239 000 km,35 900,2007 
239 000 km,49 900,2007 
239 000 km,151 500,2007 
239 000 km,58 900,2007 
239 000 km,105 000,2007 
239 000 km,55 000,2007 
239 000 km,35 900,2007 
239 000 km,70 000,2007 
239 000 km,93 900,2007 
239 000 km,66 999,2007 
239 000 km,110 700,2007 
239 000 km,76 260,2007 
239 000 km,67 900,2007 
239 000 km,44 500,2007 
239 000 km,48 000,2007 
239 000 km,38 000,2007 
239 000 km,110 000,2007 
239 000 km,28 500,2007 
239 000 km,96 900,2007 
239 000 km,89 900,2007 
239 000 km,39 900,2007 
239 000 km,89 800,2007 
239 000 km,31 444,2007 
163 000 km,24 990,2001 
163 000 km,36 000,2001 
163 000 km,56 900,2001 
163 000 km,83 000,2001 
163 000 km,49 500,2001 
163 000 km,29 900,2001 
163 000 km,46 500,2001 
163 000 km,79 900,2001 
163 000 km,64 000,2001 
163 000 km,18 000,2001 
163 000 km,59 900,2001 
163 000 km,99 000,2001 
163 000 km,95 500,2001 
163 000 km,23 550,2001 
163 000 km,66 500,2001 
163 000 km,31 900,2001 
163 000 km,52 500,2001 
163 000 km,123 000,2001 
163 000 km,129 900,2001 
163 000 km,109 900,2001 
163 000 km,89 000,2001 
163 000 km,134 900,2001 
163 000 km,105 000,2001 
163 000 km,54 900,2001 
163 000 km,27 000,2001 
163 000 km,107 900,2001 
163 000 km,34 900,2001 
163 000 km,43 900,2001 
163 000 km,36 900,2001 
163 000 km,44 000,2001 
163 000 km,95 000,2001 
163 000 km,47 000,2001 
280 000 km,48 000,2009 
280 000 km,15 600,2009 
280 000 km,84 500,2009 
280 000 km,46 000,2009 
280 000 km,84 700,2009 
280 000 km,139 000,2009 
280 000 km,105 000,2009 
280 000 km,40 000,2009 
280 000 km,46 000,2009 
280 000 km,154 000,2009 
280 000 km,59 900,2009 
280 000 km,100 000,2009 
280 000 km,27 000,2009 
280 000 km,95 000,2009 
280 000 km,99 000,2009 
280 000 km,41 500,2009 
280 000 km,14 900,2009 
280 000 km,134 900,2009 
280 000 km,54 900,2009 
280 000 km,16 900,2009 
280 000 km,104 000,2009 
280 000 km,16 900,2009 
280 000 km,83 000,2009 
280 000 km,37 000,2009 
280 000 km,45 900,2009 
280 000 km,99 000,2009 
280 000 km,51 500,2009 
280 000 km,49 500,2009 
280 000 km,97 908,2009 
280 000 km,69 900,2009 
280 000 km,43 500,2009 
280 000 km,79 000,2009 
165 633 km,150 000,2012 
